paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity
e0GcQ9l4Dh,781.0,0.07554417413572344,59.0,2.1677336747759295,3.1171623536858575,19.0
lXBzOtKn20t,145.0,0.36551724137931035,53.0,4.020689655172416,5.163263617881569,22.0
Lmff9URfo5,866.0,0.08545034642032333,74.0,2.1986143187066958,3.7403963094378154,24.0
MEdZ-7BOsKM,12.0,0.8333333333333334,10.0,2.1666666666666665,2.1248885888797826,8.0
sKDtBKYOdIP,1057.0,0.07095553453169347,75.0,0.9943235572374641,2.8557434719854182,27.0
eXkhH12DTD9,160.0,0.3125,50.0,1.6812500000000006,3.3634586029242137,17.0
HwbEioBGLo3,75.0,0.5466666666666666,41.0,3.680000000000002,4.559397779105056,22.0
9Zx6tTcX0SE,224.0,0.29464285714285715,66.0,3.160714285714286,3.10230225931256,27.0
qLKammDlpF,239.0,0.3138075313807531,75.0,4.849372384937237,5.167195086952803,21.0
qhu9uX4QlP8,518.0,0.15444015444015444,80.0,2.415057915057914,3.656890517342154,24.0
zNQ0IywxSuU,110.0,0.2818181818181818,31.0,1.5909090909090906,2.010502034822817,16.0
18XzeuYZh_,120.0,0.4583333333333333,55.0,5.541666666666666,6.423297712343758,26.0
BrKY4Wr6dk2,164.0,0.18902439024390244,31.0,0.9817073170731707,2.1406740552320613,20.0
8pvnfTAbu1f,1199.0,0.11759799833194329,141.0,6.463719766472057,6.192122453219148,32.0
nI2HmVA0hvt,159.0,0.389937106918239,62.0,2.5974842767295594,3.582869751525554,24.0
zVrw4OH1Lch,531.0,0.19397363465160075,103.0,3.758945386064031,4.007338788860983,25.0
lc8asG5NwF,904.0,0.125,113.0,4.3019911504424835,3.976475177203559,25.0
TfBHFLgv77,187.0,0.37433155080213903,70.0,3.1550802139037457,3.452054611665092,20.0
H8XpqEkbua_,679.0,0.10751104565537556,73.0,2.496318114874819,2.526479471146103,18.0
ndYXTEL6cZz,275.0,0.19636363636363635,54.0,3.2436363636363637,4.109218923257411,25.0
xWFguIF_hG,152.0,0.3881578947368421,59.0,3.9736842105263177,3.9060953698917076,22.0
WtW_s7EDWPe,83.0,0.5783132530120482,48.0,1.144578313253012,0.951667728964904,9.0
rVM8wD2G7Dy,625.0,0.1344,84.0,3.5967999999999996,5.027232505729835,22.0
adgYjVvm9Xy,165.0,0.2727272727272727,45.0,2.9212121212121223,4.358881987429804,24.0
QCtizuT48D,390.0,0.1717948717948718,67.0,3.7589743589743607,4.762574639549944,26.0
9wx-QXt-JaN,18.0,0.6111111111111112,11.0,1.722222222222222,1.2744343869089327,5.0
TYEY9qBqgfF,102.0,0.37254901960784315,38.0,4.137254901960786,4.772112087531666,19.0
SKxzoEbLZpy,226.0,0.24778761061946902,56.0,2.588495575221239,3.81967426679616,31.0
1o5SGx71kAO,117.0,0.41025641025641024,48.0,2.5726495726495724,3.4071836871331422,23.0
FPdDFUVYVPl,59.0,0.5932203389830508,35.0,2.1016949152542375,2.874950765720785,16.0
S8-A2FXnIh,147.0,0.3401360544217687,50.0,2.1836734693877546,3.4203668956512043,17.0
Om_QvnjjBL2,705.0,0.11063829787234042,78.0,3.8255319148936238,5.111198215228776,23.0
MXoeggsH7yP,43.0,1.2093023255813953,52.0,4.209302325581397,6.352945097072934,35.0
UYsYdOn-A7e,769.0,0.12743823146944083,98.0,3.1170351105331613,3.5383808605986813,29.0
HWt4BBZjVW,548.0,0.13138686131386862,72.0,3.687956204379562,3.5904709633250937,18.0
dPOLZ2u4SKV,189.0,0.3968253968253968,75.0,3.3703703703703707,4.159118458454609,24.0
tDNGHd0QmzO,128.0,0.3203125,41.0,2.945312499999999,4.526924863577089,26.0
Kk-kJl9fmm,544.0,0.18566176470588236,101.0,5.036764705882353,6.288236950998368,33.0
K1CNgCJtLLr,114.0,0.2543859649122807,29.0,1.3771929824561406,1.9750225757741537,18.0
JInmhyuvn6,327.0,0.25382262996941896,83.0,3.5565749235474002,5.133405381377287,31.0
IVESH65r0Ar,151.0,0.19205298013245034,29.0,1.079470198675497,1.5210661997776302,13.0
M8rwWdaGa6x,624.0,0.1282051282051282,80.0,2.860576923076921,2.7632274010359295,20.0
IB5Njg_ztYB,356.0,0.21910112359550563,78.0,3.379213483146067,4.075279712088652,26.0
