paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity,recommendation_avg,status
e0GcQ9l4Dh,781.0,0.07554417413572344,59.0,2.1664532650448147,3.1120858442497554,19.0,5.333333333333333,Reject
lXBzOtKn20t,145.0,0.36551724137931035,53.0,4.006896551724139,5.122792955296481,22.0,4.0,Withdraw
Lmff9URfo5,866.0,0.08545034642032333,74.0,2.19284064665127,3.730021248061911,24.0,4.25,Withdraw
MEdZ-7BOsKM,12.0,0.8333333333333334,10.0,2.1666666666666665,2.1248885888797826,8.0,4.75,Withdraw
sKDtBKYOdIP,1057.0,0.07190160832544938,76.0,0.9905392620624393,2.848761259338683,27.0,5.75,Reject
eXkhH12DTD9,160.0,0.3125,50.0,1.6812500000000006,3.3634586029242137,17.0,5.75,Poster
HwbEioBGLo3,75.0,0.5466666666666666,41.0,3.680000000000002,4.559397779105056,22.0,4.4,Withdraw
9Zx6tTcX0SE,224.0,0.29464285714285715,66.0,3.160714285714286,3.10230225931256,27.0,5.0,Reject
qLKammDlpF,239.0,0.3138075313807531,75.0,4.849372384937237,5.167195086952803,21.0,5.0,Reject
qhu9uX4QlP8,518.0,0.15444015444015444,80.0,2.415057915057914,3.656890517342154,24.0,5.25,Reject
zNQ0IywxSuU,110.0,0.2818181818181818,31.0,1.5909090909090906,2.010502034822817,16.0,1.6666666666666667,Reject
18XzeuYZh_,120.0,0.4583333333333333,55.0,5.541666666666666,6.423297712343758,26.0,6.5,Poster
BrKY4Wr6dk2,164.0,0.18902439024390244,31.0,0.9817073170731707,2.1406740552320613,20.0,4.0,Reject
8pvnfTAbu1f,1199.0,0.11759799833194329,141.0,6.453711426188481,6.177479494770368,32.0,5.75,Poster
nI2HmVA0hvt,159.0,0.3836477987421384,61.0,2.5660377358490574,3.5480932691613747,24.0,6.75,Poster
zVrw4OH1Lch,531.0,0.192090395480226,102.0,3.7570621468926553,4.0069894163727104,25.0,6.0,Poster
lc8asG5NwF,904.0,0.1261061946902655,114.0,4.290929203539824,3.9641926667176874,25.0,4.666666666666667,Reject
TfBHFLgv77,187.0,0.37433155080213903,70.0,3.1550802139037457,3.452054611665092,20.0,8.666666666666666,Top-25%
H8XpqEkbua_,679.0,0.10603829160530191,72.0,2.493372606774668,2.5247214796388895,18.0,6.0,Reject
ndYXTEL6cZz,275.0,0.19636363636363635,54.0,3.2436363636363637,4.109218923257411,25.0,6.0,Poster
xWFguIF_hG,152.0,0.3815789473684211,58.0,3.9671052631578965,3.905197357297365,22.0,6.0,Reject
WtW_s7EDWPe,83.0,0.5783132530120482,48.0,1.144578313253012,0.951667728964904,9.0,5.75,Reject
rVM8wD2G7Dy,625.0,0.1344,84.0,3.583999999999999,4.994201766253671,22.0,7.0,Poster
adgYjVvm9Xy,165.0,0.2787878787878788,46.0,2.927272727272726,4.3610857290521015,24.0,5.0,Reject
QCtizuT48D,390.0,0.16923076923076924,66.0,3.751282051282053,4.760828371617253,26.0,5.25,Reject
9wx-QXt-JaN,18.0,0.6111111111111112,11.0,1.722222222222222,1.2744343869089327,5.0,4.0,Withdraw
TYEY9qBqgfF,102.0,0.37254901960784315,38.0,4.137254901960786,4.772112087531666,19.0,5.333333333333333,Reject
SKxzoEbLZpy,226.0,0.24778761061946902,56.0,2.588495575221239,3.81967426679616,31.0,4.666666666666667,Withdraw
1o5SGx71kAO,117.0,0.41025641025641024,48.0,2.5726495726495724,3.4071836871331422,23.0,3.6666666666666665,Withdraw
FPdDFUVYVPl,59.0,0.5932203389830508,35.0,2.1016949152542375,2.874950765720785,16.0,4.5,Reject
S8-A2FXnIh,147.0,0.3333333333333333,49.0,2.1768707482993195,3.3915702918889075,17.0,6.75,Poster
Om_QvnjjBL2,705.0,0.11063829787234042,78.0,3.8255319148936238,5.111198215228776,23.0,5.666666666666667,Reject
MXoeggsH7yP,43.0,1.2093023255813953,52.0,4.209302325581397,6.352945097072934,35.0,3.5,Withdraw
UYsYdOn-A7e,769.0,0.13003901170351106,100.0,3.1170351105331613,3.5383808605986813,29.0,3.0,Withdraw
HWt4BBZjVW,548.0,0.12956204379562045,71.0,3.6843065693430663,3.587604354264213,18.0,6.5,Poster
dPOLZ2u4SKV,189.0,0.3915343915343915,74.0,3.365079365079365,4.144856800011774,24.0,5.666666666666667,Reject
tDNGHd0QmzO,128.0,0.3203125,41.0,2.945312499999999,4.526924863577089,26.0,4.333333333333333,Reject
Kk-kJl9fmm,544.0,0.18566176470588236,101.0,5.033088235294113,6.285328060221895,34.0,5.333333333333333,Reject
K1CNgCJtLLr,114.0,0.2543859649122807,29.0,1.3771929824561406,1.9750225757741537,18.0,3.6666666666666665,Reject
JInmhyuvn6,327.0,0.25382262996941896,83.0,3.553516819571862,5.127459294917441,31.0,6.333333333333333,Reject
IVESH65r0Ar,151.0,0.19205298013245034,29.0,1.079470198675497,1.5210661997776302,13.0,6.25,Poster
M8rwWdaGa6x,624.0,0.1282051282051282,80.0,2.857371794871794,2.7589940735970777,20.0,4.666666666666667,Withdraw
IB5Njg_ztYB,356.0,0.21629213483146068,77.0,3.376404494382022,4.064120505918549,26.0,2.5,Reject
Nayau9fwXU,59.0,0.6610169491525424,39.0,2.9661016949152543,4.156283575731284,19.0,6.5,Poster
P_48ZG7ySK,682.0,0.15542521994134897,106.0,3.8768328445747784,4.000303578594595,24.0,4.75,Withdraw
dZrQR7OR11,583.0,0.12521440823327615,73.0,2.938250428816467,4.7486255952335155,26.0,6.0,Poster
