paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity,recommendation_avg,status
UBUWFEwn7p,498.0,0.16666666666666666,83.0,3.00200803212851,5.474469369096404,34.0,6.4,Poster
Lg1ODJGGiI,382.0,0.17277486910994763,66.0,3.534031413612561,5.661737301337087,29.0,7.0,Poster
haniyY7zm1,1563.0,0.060780550223928344,95.0,3.607165706973774,4.551793257520307,27.0,6.5,Poster
G7sQlfTzmY,292.0,0.2191780821917808,64.0,2.5958904109589063,3.7344477358411425,24.0,6.0,Poster
jcJVgIFY2r,848.0,0.10731132075471699,91.0,2.8195754716981156,3.550844229591251,19.0,6.0,Poster
WqiZJGNkjn,99.0,0.46464646464646464,46.0,3.2727272727272734,2.916589361993475,13.0,5.5,Poster
dQLsvKNwZC,424.0,0.1957547169811321,83.0,2.9952830188679247,3.748598025095983,26.0,6.0,Poster
0eRDQQK2TW,442.0,0.18552036199095023,82.0,3.5248868778280533,4.050202605257785,28.0,6.5,Poster
AfC8PVQZ9z,1395.0,0.08745519713261649,122.0,3.786379928315415,4.8183905540443845,28.0,6.0,Poster
iWGC0Nsq9i,425.0,0.1811764705882353,77.0,5.43294117647059,6.400976271265596,30.0,6.75,Spotlight
g78QqvhnDU,298.0,0.18791946308724833,56.0,1.5536912751677852,3.149282928161126,19.0,6.25,Poster
5R9bZlpZKj,596.0,0.1929530201342282,115.0,4.167785234899332,5.603303568868178,34.0,6.4,Spotlight
SKN2hflBIZ,31.0,0.3548387096774194,11.0,0.6129032258064516,1.5848747448897176,8.0,6.25,Poster
QW5ouyyIgG,106.0,0.6037735849056604,64.0,6.452830188679247,4.418860175099453,22.0,5.5,Poster
zANxvzflMl,200.0,0.265,53.0,2.0549999999999997,2.3875672528610945,13.0,6.25,Poster
PmqBJ02V1p,1016.0,0.11122047244094488,113.0,4.0620078740157455,4.90511882060699,34.0,5.5,Poster
3n8PNUdvSg,183.0,0.23497267759562843,43.0,3.803278688524591,4.037542251530621,16.0,5.5,Poster
ZDnnzsado4,21.0,0.8571428571428571,18.0,1.380952380952381,2.5588315785957945,12.0,6.5,Poster
tQYGjnxPOm,192.0,0.22395833333333334,43.0,2.5208333333333344,3.5843732003088764,20.0,6.6,Poster
rQI3FOzo1f,132.0,0.4015151515151515,53.0,3.7727272727272747,4.525737945969297,20.0,5.0,Poster
MtekhXRP4h,1205.0,0.12365145228215768,149.0,2.8846473029045656,3.5394039580122993,23.0,6.5,Poster
Xj4LJiXvlX,871.0,0.10907003444316878,95.0,3.9391504018369714,4.891909221262943,39.0,5.25,Poster
xzmaFfw6oh,416.0,0.18990384615384615,79.0,3.1514423076923066,3.681100913970202,22.0,5.5,Poster
UgomCjCWjC,463.0,0.15982721382289417,74.0,3.1684665226781865,5.968688068055405,39.0,5.5,Poster
NJK3aSB0z4,1990.0,0.10150753768844221,202.0,5.067336683417085,5.733874228423717,36.0,5.8,Poster
hcXDbbzgoh,379.0,0.19261213720316622,73.0,4.321899736147755,3.7468604960983223,17.0,6.0,Poster
QKSejqE8Vp,1872.0,0.046474358974358976,87.0,6.0614316239316235,4.5890404243916985,36.0,7.5,Spotlight
gaXAjtHic2,499.0,0.16633266533066132,83.0,3.332665330661318,4.018225935521299,24.0,6.75,Poster
vOBfqhmOoM,95.0,0.42105263157894735,40.0,3.473684210526315,4.282180060369822,25.0,3.25,Reject
NG4DaApavi,1638.0,0.07264957264957266,119.0,3.996336996337001,4.934140350967015,38.0,5.5,Poster
Rs6pzz21U4,783.0,0.0842911877394636,66.0,1.4687100893997438,1.8279526782303415,20.0,5.5,Poster
sJDkwMVqb9,267.0,0.23220973782771537,62.0,1.4344569288389521,2.557315171850255,23.0,5.8,Poster
ZrNRBmOzwE,67.0,0.43283582089552236,29.0,2.358208955223881,2.8321824357932095,14.0,5.8,Poster
FCIj5KMn2m,229.0,0.21397379912663755,49.0,2.711790393013101,3.2342588876531573,18.0,6.0,Poster
1kgK0r8PGg,1205.0,0.08464730290456432,102.0,4.158506224066389,5.827726523943666,36.0,6.0,Poster
Dx99y3okbL,1091.0,0.07241063244729606,79.0,2.4399633363886326,2.960414302541329,26.0,6.333333333333333,Poster
9QEVJ9qm46,460.0,0.14782608695652175,68.0,4.786956521739127,6.402804692350748,33.0,5.75,Poster
FFdrXkm3Cz,303.0,0.25412541254125415,77.0,5.9438943894389435,6.8686942676502865,31.0,6.0,Poster
dVnhdm9MIg,142.0,0.36619718309859156,52.0,3.1267605633802793,5.111326811313356,26.0,8.0,Oral
hh6azymUaE,333.0,0.29429429429429427,98.0,3.450450450450449,3.6480859944619253,17.0,2.5,Reject
oKqaWlEfjY,613.0,0.08972267536704731,55.0,2.4828711256117493,3.1651364070438293,17.0,5.333333333333333,Poster
GSuP99u2kR,18.0,0.9444444444444444,17.0,2.3333333333333335,3.7416573867739413,17.0,7.2,Spotlight
8jg8z3ASiw,1285.0,0.06614785992217899,85.0,2.996108949416344,3.2938842301231683,31.0,6.25,Poster
UAow2kPsYP,204.0,0.39215686274509803,80.0,3.892156862745099,5.551206965453768,30.0,7.0,Spotlight
u359tNBpxF,983.0,0.08850457782299084,87.0,3.6775178026449664,3.2902332083941386,22.0,6.0,Poster
1agtIRxlCY,24.0,0.3333333333333333,8.0,0.7083333333333334,0.4643056214875365,1.0,6.75,Poster
OiivS2mqQf,147.0,0.41496598639455784,61.0,2.598639455782314,3.56478181227372,23.0,5.0,Poster
D8nAMRRCLS,282.0,0.1702127659574468,48.0,3.0709219858156014,3.9940264828232594,24.0,5.0,Poster
wS3PPBUDX8,459.0,0.16993464052287582,78.0,4.851851851851853,4.387836981404862,20.0,5.25,Reject
5oEVdOd6TV,328.0,0.21951219512195122,72.0,4.618902439024389,6.1064368717559185,33.0,4.4,Poster
hIGZujtOQv,341.0,0.18181818181818182,62.0,2.8533724340175928,2.8710874255240975,20.0,5.75,Poster
gbOukzirpK,246.0,0.18292682926829268,45.0,1.7073170731707321,2.142787455312844,11.0,7.25,Spotlight
v5Aaxk4sSy,186.0,0.27419354838709675,51.0,1.7580645161290314,4.698540833427195,32.0,5.6,Poster
tScBQRNgjk,291.0,0.25773195876288657,75.0,2.975945017182129,4.215256205703881,32.0,5.25,Poster
KOVWXcrFIK,590.0,0.1288135593220339,76.0,3.8338983050847486,4.398587910833995,32.0,5.5,Poster
DIeZu6nqvo,24.0,1.125,27.0,1.9166666666666667,4.5579998155814545,23.0,6.6,Poster
OUIFPHEgJU,171.0,0.2046783625730994,35.0,2.2573099415204676,2.9131329027789863,19.0,7.75,Oral
CQuRzAgjg9,713.0,0.16830294530154277,120.0,4.840112201963532,6.3000549300958095,43.0,5.0,Poster
x5fs7TXKDc,675.0,0.11703703703703704,79.0,4.416296296296297,4.445853057358869,29.0,6.5,Poster
ZBxycYCuEL,459.0,0.11328976034858387,52.0,2.1677559912854067,2.925599549896729,20.0,6.166666666666667,Poster
38o372YoYt,96.0,0.07291666666666667,7.0,0.35416666666666663,0.5227290063073673,2.0,6.2,Poster
BRSgVw85Mc,598.0,0.09866220735785954,59.0,1.749163879598662,2.5329898984588946,20.0,6.25,Poster
8GSCaoFot9,334.0,0.1497005988023952,50.0,2.0419161676646707,3.5120612316776496,18.0,5.25,Poster
XY6BnwIh4q,116.0,0.3879310344827586,45.0,2.387931034482759,3.6754687408230824,17.0,6.2,Poster
58HwnnEdtF,999.0,0.10710710710710711,107.0,4.371371371371372,5.131265047060773,30.0,6.0,Poster
YJ4ioRbxNb,249.0,0.25301204819277107,63.0,2.803212851405619,3.7831105085411103,27.0,4.666666666666667,Poster
oO1IreC6Sd,284.0,0.20422535211267606,58.0,2.788732394366198,3.5083564773196056,21.0,5.75,Poster
pLwYhNNnoR,36.0,0.6944444444444444,25.0,1.8333333333333337,2.8735244660769563,12.0,6.5,Spotlight
YmEDnMynuO,165.0,0.3393939393939394,56.0,5.418181818181819,6.8991628400531235,27.0,6.25,Poster
UkAGqeWTuL,114.0,0.3684210526315789,42.0,2.271929824561405,2.872774514465247,14.0,5.4,Poster
rGN3X9jnEg,245.0,0.3142857142857143,77.0,4.097959183673473,4.502116523930554,30.0,6.5,Poster
JTmO2V9Xpz,106.0,0.6320754716981132,67.0,5.254716981132076,5.127073463496484,22.0,7.0,Poster
H1a7bVVnPK,473.0,0.18816067653276955,89.0,2.469344608879491,4.385986326084851,28.0,6.0,Poster
xGz0wAIJrS,141.0,0.3262411347517731,46.0,1.893617021276596,3.5409888200484643,25.0,6.0,Poster
LlERoXEKjh,1596.0,0.07017543859649122,112.0,4.142857142857143,4.916699747637558,30.0,7.0,Spotlight
ER0bcYXvvo,134.0,0.35074626865671643,47.0,5.462686567164182,5.659055842527158,19.0,6.25,Poster
8SCz56sUGP,108.0,0.4166666666666667,45.0,3.305555555555555,2.63498508865714,15.0,5.0,Poster
lk6KDG6qI7,530.0,0.1660377358490566,88.0,5.571698113207551,6.142875977692542,36.0,6.0,Poster
Kig2YJVYfq,156.0,0.3141025641025641,49.0,2.4935897435897445,2.7859018227654175,15.0,5.6,Poster
r44obB8FY5,84.0,0.5238095238095238,44.0,2.380952380952381,3.90830059487161,22.0,3.25,Reject
OiatK9W6tR,961.0,0.12486992715920915,120.0,3.5931321540062453,3.995820038935537,25.0,6.0,Poster
JkmvrheMe7,804.0,0.13059701492537312,105.0,5.151741293532335,6.229872953273932,32.0,5.8,Poster
X9Vjq9Fuhq,860.0,0.07790697674418605,67.0,3.8000000000000003,4.170074663697872,24.0,6.25,Poster
jRL6ErxMVB,101.0,0.5544554455445545,56.0,3.594059405940594,4.436616318370977,19.0,5.8,Poster
tnRboxQIec,175.0,0.30857142857142855,54.0,2.2742857142857154,3.5564691628641945,25.0,6.0,Poster
nzkWhoXUpv,647.0,0.080370942812983,52.0,2.737248840803708,3.2793878041291387,27.0,7.25,Spotlight
bH4LVNVXUo,987.0,0.07801418439716312,77.0,2.361702127659573,3.135200971592959,37.0,5.75,Poster
SJw4Da8BuR,267.0,0.2247191011235955,60.0,3.8202247191011223,3.9304913630901814,21.0,4.25,Reject
zn5ihqknGj,640.0,0.15625,100.0,5.196875000000004,6.553164516473601,39.0,5.0,Poster
vpQuCsZXz2,344.0,0.12790697674418605,44.0,0.9389534883720932,2.7092961783619973,20.0,5.0,Poster
PBpEb86bj7,176.0,0.32386363636363635,57.0,2.681818181818183,3.9656970694637335,29.0,5.4,Poster
aW5bSuduF1,74.0,0.7027027027027027,52.0,3.635135135135134,3.922447950794735,18.0,6.0,Poster
nwK8UkK3uB,509.0,0.14145383104125736,72.0,3.7131630648330063,4.346716066857508,33.0,5.25,Poster
SOEF0i0G1z,855.0,0.08187134502923976,70.0,2.577777777777782,3.0117991576491496,26.0,6.0,Poster
d4f40zJJIS,81.0,0.4074074074074074,33.0,1.950617283950617,2.9193374015686384,16.0,5.4,Poster
Od6CHhPM7I,59.0,0.4576271186440678,27.0,1.8305084745762712,2.6007461951291337,15.0,5.75,Poster
jgIrJeHHlz,99.0,0.46464646464646464,46.0,3.4949494949494957,3.8155796023022304,19.0,5.75,Poster
nijJN0LHqM,1127.0,0.061224489795918366,69.0,3.57586512866016,4.383002808109593,27.0,6.25,Spotlight
dWDEBW2raJ,237.0,0.18143459915611815,43.0,1.160337552742616,2.6102042041323625,17.0,6.0,Poster
B3UDx1rNOy,562.0,0.1708185053380783,96.0,3.6530249110320256,3.9784042380102913,27.0,6.0,Poster
pirH9ycaNg,798.0,0.11779448621553884,94.0,4.51754385964912,4.826637503835512,29.0,6.0,Poster
IklhryC2up,964.0,0.08402489626556017,81.0,2.7665975103734444,2.8108387679244236,28.0,5.75,Reject
7RMGI4slcb,129.0,0.23255813953488372,30.0,1.062015503875969,2.852498734619833,21.0,6.2,Poster
XcQzXeF7fX,434.0,0.15898617511520738,69.0,2.7626728110599106,3.507351335959217,20.0,6.4,Poster
h0RVoZuUl6,1215.0,0.09218106995884774,112.0,4.213168724279837,5.676753174711694,37.0,5.75,Poster
C8pvL8Qbfa,503.0,0.14910536779324055,75.0,3.3379721669980142,4.415326604806517,20.0,6.25,Poster
oyFyOPZUCs,112.0,0.4017857142857143,45.0,3.6160714285714293,3.966630030221346,29.0,5.4,Poster
NP5xb00Y6a,508.0,0.1141732283464567,58.0,2.480314960629921,2.925371282292715,25.0,5.0,Poster
QRWA5nTWuM,35.0,0.4,14.0,2.0571428571428574,1.4741469545799966,5.0,5.25,Poster
hpYb4eUinX,94.0,0.6276595744680851,59.0,4.021276595744681,5.011768351459758,28.0,6.0,Poster
NnMEadcdyD,587.0,0.11243611584327087,66.0,4.33901192504259,5.1156483191393765,33.0,7.4,Oral
YsZTDcIQwQ,153.0,0.29411764705882354,45.0,2.96078431372549,4.508591729221548,28.0,5.4,Poster
BOP5McdqGy,117.0,0.27350427350427353,32.0,0.871794871794872,2.6081386596391893,18.0,5.0,Poster
3G2ec833mW,228.0,0.2894736842105263,66.0,3.346491228070175,4.197559177996918,32.0,6.0,Poster
qynH28Y4xE,216.0,0.22685185185185186,49.0,2.5324074074074057,2.8511712388503074,22.0,6.6,Poster
c5rqd6PZn6,145.0,0.47586206896551725,69.0,2.689655172413793,3.993948967186542,27.0,6.2,Poster
eTMHsUp3Ii,1156.0,0.1254325259515571,145.0,5.275086505190311,4.888764616243027,25.0,6.0,Poster
zsOOqjaj2z,1367.0,0.1163130943672275,159.0,3.525237746891,4.2344262324552995,31.0,5.166666666666667,Poster
IyTArtpuCK,599.0,0.11018363939899833,66.0,2.9248747913188677,3.3923037440144457,24.0,5.666666666666667,Poster
v4PMCdSaAT,97.0,0.422680412371134,41.0,1.773195876288661,3.056772380848163,27.0,6.333333333333333,Poster
